Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Community Engagement Services,04/04/2017,5100107228,"1,203.00",AECOM LTD
TfGM,Transport,Community Engagement Services,04/04/2017,5100107229,"13,940.80",AECOM LTD
TfGM,Transport,Community Engagement Services,04/04/2017,5100107230,"2,743.75",AECOM LTD
TfGM,Transport,Capital Costs - Planning Support Services,04/04/2017,5100107357,"5,230.00",AECOM LTD
TfGM,Transport,Capital Costs - Commercial Managment Services,04/04/2017,5100108193,"11,907.00",AECOM LTD
TfGM,Transport,Concessionary Reimbursement,04/04/2017,1900052936,737.00,ARSHAD HAFEEZ T/A NO 1 CAB CO.
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107512,"1,245.94",ASSA ABLOY ENTRANCE SYSTEMS LTD
TfGM,Transport,Capital Costs - Project Management Services,04/04/2017,5100106385,"16,020.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/04/2017,5100106495,"7,735.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Programme and Project Management Services,04/04/2017,1900052942,"29,871.00",BLACC LTD
TfGM,Transport,Concessionary Reimbursement,04/04/2017,1900052927,"1,098.00",BLUELINE PRIVATE HIRE
TfGM,Transport,IS Support Services,04/04/2017,5100108203,"1,243.75",BT PLC
TfGM,Transport,IS Support Services,04/04/2017,5100108204,"1,243.75",BT PLC
TfGM,Corporate Services,IS Support Services,04/04/2017,5100107279,"267,656.12",BYTES SOFTWARE SERVICES LTD
TfGM,Transport,Print & Media,04/04/2017,5100100719,"1,441.44",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,04/04/2017,5100105045,"2,191.48",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,04/04/2017,5100107981,"(1,441.44)",CARAT MEDIA UK LIMITED
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107372,830.00,CHARGE YOUR CAR LTD
TfGM,Corporate Services,Employee Reimbursed Costs,04/04/2017,5100108211,455.43,CHILDCARE VOUCHERS LTD
TfGM,Transport,Cycle Training Scheme,04/04/2017,5100107710,"3,791.67",CITY OF SALFORD
TfGM,Transport,Traffic and Transportation Surveys,04/04/2017,5100107793,750.00,CTS TRAFFIC & TRANSPORTATION
TfGM,Transport,Supported Bus Services,04/04/2017,5100107873,"23,386.74",DERBYSHIRE COUNTY COUNCIL
TfGM,Transport,Professional Services,04/04/2017,5100107956,"4,800.00",EDGERTON MANAGEMENT SERVICES LTD
TfGM,Transport,Traffic Signal Works,04/04/2017,5100107017,788.41,ELECTRICITY NORTH WEST EHV
TfGM,Transport,Legal Services,04/04/2017,5100107425,(475.50),EVERSHEDS SUTHERLAND (INTERNATIONAL
TfGM,Transport,Legal Services,04/04/2017,5100107666,"123,581.81",EVERSHEDS SUTHERLAND (INTERNATIONAL
TfGM,Transport,Business Case Development,04/04/2017,5100107957,"7,425.00",EXPERIS LTD
TfGM,Transport,Cycling Support Services,04/04/2017,5100107966,660.00,FI SMITH ARTS
