,Body_Name,Service_Area,Expense_Type,Invoice_Payment_Date,Transaction_Number,Net_Amount,Supplier
1,TfGM,Transport,Capital Costs - Environmental & Ecological Support Services,01/04/2016,5100093160,15003.27,AECOM INFRASTRUCTURE & ENVIRONMENT
2,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091251,27562.50,AECOM LTD
3,TfGM,Transport,Community Engagement Services,01/04/2016,5100092348,1341.25,AECOM LTD
4,TfGM,Transport,Community Engagement Services,01/04/2016,5100092434,8470.05,AECOM LTD
5,TfGM,Transport,Community Engagement Services,01/04/2016,5100092437,920.00,AECOM LTD
6,TfGM,Transport,Community Engagement Services,01/04/2016,5100092438,35806.14,AECOM LTD
7,TfGM,Transport,Capital Costs - Engineering Support Services,01/04/2016,5100092618,7411.18,AECOM LTD
8,TfGM,Transport,Heavy Rail Support Services,01/04/2016,5100092948,2400.00,AMEY (CONSULTING & RAIL)
9,TfGM,Transport,Heavy Rail Support Services,01/04/2016,5100092950,2280.00,AMEY (CONSULTING & RAIL)
10,TfGM,Transport,Paper and Printing Consumables,01/04/2016,5100092578,776.37,ANTALIS LTD
11,TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100093402,1124.38,B DAVIES
12,TfGM,Transport,Concessionary Reimbursement,01/04/2016,1900046299,513.00,BLUELINE PRIVATE HIRE
13,TfGM,Transport,Print & Media,01/04/2016,5100093352,692.00,BLUETREE DESIGN AND PRINT LTD
14,TfGM,Transport,Capital Costs - LRT Vehicles,01/04/2016,5100093371,209500.00,BOMBARDIER TRANSPORTATION UK LTD
15,TfGM,Transport,Community Transport Support Services,01/04/2016,5100093189,2677.57,BREAKTHROUGH UK LTD
16,TfGM,Transport,Concessionary Reimbursement,01/04/2016,1900046305,1069.00,BULLITT CARS
17,TfGM,Transport,Capital Costs - Capital Project Main Contract Works,01/04/2016,5100092430,173834.70,BURY MBC
18,TfGM,Corporate Services,IS Support and Licences,01/04/2016,5100092439,125441.08,BYTES SOFTWARE SERVICES LTD
19,TfGM,Transport,Concessionary Reimbursement,01/04/2016,1900046296,1032.00,CALL A CAR PRIVATE HIRE LTD
20,TfGM,Transport,Capital Costs - Print & Media,01/04/2016,5100093080,1976.98,CARAT MEDIA UK LIMITED
21,TfGM,Transport,Professional Services,01/04/2016,5100093301,2321.84,COMMERCIAL STRATEGIES LTD
22,TfGM,Transport,Capital Costs - Environmental Feasibility Support,01/04/2016,5100092373,1050.00,COMMUNITY FOREST TRUST
23,TfGM,Transport,Print & Media,01/04/2016,5100092376,3000.00,CREATIVE CONCERN
24,TfGM,Transport,Cycle Training Scheme,01/04/2016,5100092669,600.00,DARREN ALLGOOD
25,TfGM,Transport,Vehicle Repairs & Maintenance,01/04/2016,5100093205,2355.00,DIGITECH CCTV
26,TfGM,Transport,Capital Costs - IS Software & Maintenance,01/04/2016,5100093187,8166.66,DRAKEWELL LIMITED
27,TfGM,Transport,Print & Media,01/04/2016,5100093001,1759.00,DST OUTPUT (Nottingham) LTD
28,TfGM,Transport,Business Case Development,01/04/2016,5100093480,4620.00,DURDAR CONSULTING LTD
29,TfGM,Corporate Services,Legal Services,01/04/2016,1900046294,1500.00,EVERSHEDS LLP
30,TfGM,Transport,IS Support Services,01/04/2016,5100092424,9000.00,EXPERIS LTD
31,TfGM,Transport,Capital Costs - IS Support Services,01/04/2016,5100092426,8500.00,EXPERIS LTD
32,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092657,3811.50,FIRCROFT ENGINEERING SERVICES LTD
33,TfGM,Transport,Vehicle Repairs & Maintenance,01/04/2016,5100092981,2025.45,FIRST MANCHESTER
34,TfGM,Transport,"Rent, Rates & Service Charges",01/04/2016,5100092372,10387.11,GMATL
35,TfGM,Transport,Capital Costs - Engineering Support Services,01/04/2016,5100093162,720.00,GO TRAFFIC MANAGEMENT LTD
36,TfGM,Transport,Highway Safety Support Services,01/04/2016,5100092670,42807.00,GTR MAN FIRE AND RESCUE SERVICE
37,TfGM,Transport,Professional Services,01/04/2016,5100092269,19660.00,HALCROW GROUP LTD
38,TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100093330,3062.43,HOLIDAY INN MANCHESTER EAST
39,TfGM,Transport,Print & Media,01/04/2016,5100092603,625.00,INTREPIDFISH  LIMITED
40,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100087163,13448.00,JACOBS UK LTD
41,TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,01/04/2016,5100090788,6000.00,JONES LANG LASALLE LTD
